-0.97938,-0.19593,0.049297
0.0097688,-0.99413,0.10779
-0.51429,-0.48005,0.71067
-0.93993,0.23303,0.24945
-0.6755,0.34377,0.65232
-0.67662,0.66215,0.32209
0.52901,0.69457,0.48756
-0.53903,-0.033668,0.84161
0.68661,-0.11913,0.7172
0.9424,-0.15638,0.29567
0.79197,0.59965,0.11492
0.83647,-0.53921,0.097854
-0.31332,-0.84948,0.42451
-0.30763,0.67359,0.67205
0.23541,0.070278,0.96935
0.12486,0.9,0.41763
-0.84901,-0.15729,0.50442
0.85682,0.27101,0.43866
-0.077597,-0.62991,0.77278
-0.12737,-0.21047,0.96927
0.2287,-0.82459,0.51745
-0.29181,0.9187,0.26616
0.64207,-0.55357,0.53038
0.43436,0.90017,0.032004
0.1416,0.58511,0.7985
-0.72957,-0.60207,0.32441
0.49747,-0.85494,0.14695
0.32999,-0.40126,0.85446
-0.20571,0.29093,0.93437
0.53979,0.32826,0.77516
